Group_Number,Group_Index,PathName_Nuclei,PathName_pAKT,FileName_Nuclei,FileName_pAKT,Metadata_Barcode,Metadata_Column,Metadata_CreationDate,Metadata_CreationTime,Metadata_FieldIndex,Metadata_ImagingComputer,Metadata_PlateSize,Metadata_RowNumber
16,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 23(fld 1 wv DAPI - DAPI).tif,A - 23(fld 1 wv FITC - FITC).tif,VB00021880,23,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
17,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 24(fld 1 wv DAPI - DAPI).tif,A - 24(fld 1 wv FITC - FITC).tif,VB00021880,24,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
18,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 25(fld 1 wv DAPI - DAPI).tif,A - 25(fld 1 wv FITC - FITC).tif,VB00021880,25,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
19,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 26(fld 1 wv DAPI - DAPI).tif,A - 26(fld 1 wv FITC - FITC).tif,VB00021880,26,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
20,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 27(fld 1 wv DAPI - DAPI).tif,A - 27(fld 1 wv FITC - FITC).tif,VB00021880,27,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
21,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 28(fld 1 wv DAPI - DAPI).tif,A - 28(fld 1 wv FITC - FITC).tif,VB00021880,28,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
22,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 29(fld 1 wv DAPI - DAPI).tif,A - 29(fld 1 wv FITC - FITC).tif,VB00021880,29,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
23,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 3(fld 1 wv DAPI - DAPI).tif,A - 3(fld 1 wv FITC - FITC).tif,VB00021880,3,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
24,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 30(fld 1 wv DAPI - DAPI).tif,A - 30(fld 1 wv FITC - FITC).tif,VB00021880,30,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
25,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 31(fld 1 wv DAPI - DAPI).tif,A - 31(fld 1 wv FITC - FITC).tif,VB00021880,31,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
26,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 32(fld 1 wv DAPI - DAPI).tif,A - 32(fld 1 wv FITC - FITC).tif,VB00021880,32,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
27,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 33(fld 1 wv DAPI - DAPI).tif,A - 33(fld 1 wv FITC - FITC).tif,VB00021880,33,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
28,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 34(fld 1 wv DAPI - DAPI).tif,A - 34(fld 1 wv FITC - FITC).tif,VB00021880,34,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
29,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 35(fld 1 wv DAPI - DAPI).tif,A - 35(fld 1 wv FITC - FITC).tif,VB00021880,35,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
30,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 36(fld 1 wv DAPI - DAPI).tif,A - 36(fld 1 wv FITC - FITC).tif,VB00021880,36,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
31,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 37(fld 1 wv DAPI - DAPI).tif,A - 37(fld 1 wv FITC - FITC).tif,VB00021880,37,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
32,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 38(fld 1 wv DAPI - DAPI).tif,A - 38(fld 1 wv FITC - FITC).tif,VB00021880,38,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
33,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 39(fld 1 wv DAPI - DAPI).tif,A - 39(fld 1 wv FITC - FITC).tif,VB00021880,39,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
34,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 4(fld 1 wv DAPI - DAPI).tif,A - 4(fld 1 wv FITC - FITC).tif,VB00021880,4,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
35,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 40(fld 1 wv DAPI - DAPI).tif,A - 40(fld 1 wv FITC - FITC).tif,VB00021880,40,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
36,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 41(fld 1 wv DAPI - DAPI).tif,A - 41(fld 1 wv FITC - FITC).tif,VB00021880,41,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
37,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 42(fld 1 wv DAPI - DAPI).tif,A - 42(fld 1 wv FITC - FITC).tif,VB00021880,42,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
38,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 5(fld 1 wv DAPI - DAPI).tif,A - 5(fld 1 wv FITC - FITC).tif,VB00021880,5,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
39,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 6(fld 1 wv DAPI - DAPI).tif,A - 6(fld 1 wv FITC - FITC).tif,VB00021880,6,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
40,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 7(fld 1 wv DAPI - DAPI).tif,A - 7(fld 1 wv FITC - FITC).tif,VB00021880,7,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
41,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 8(fld 1 wv DAPI - DAPI).tif,A - 8(fld 1 wv FITC - FITC).tif,VB00021880,8,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
42,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,A - 9(fld 1 wv DAPI - DAPI).tif,A - 9(fld 1 wv FITC - FITC).tif,VB00021880,9,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,1
43,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 1(fld 1 wv DAPI - DAPI).tif,J - 1(fld 1 wv FITC - FITC).tif,VB00021880,1,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
44,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 10(fld 1 wv DAPI - DAPI).tif,J - 10(fld 1 wv FITC - FITC).tif,VB00021880,10,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
45,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 11(fld 1 wv DAPI - DAPI).tif,J - 11(fld 1 wv FITC - FITC).tif,VB00021880,11,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
46,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 12(fld 1 wv DAPI - DAPI).tif,J - 12(fld 1 wv FITC - FITC).tif,VB00021880,12,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
47,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 13(fld 1 wv DAPI - DAPI).tif,J - 13(fld 1 wv FITC - FITC).tif,VB00021880,13,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
48,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 14(fld 1 wv DAPI - DAPI).tif,J - 14(fld 1 wv FITC - FITC).tif,VB00021880,14,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
49,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 15(fld 1 wv DAPI - DAPI).tif,J - 15(fld 1 wv FITC - FITC).tif,VB00021880,15,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
50,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 16(fld 1 wv DAPI - DAPI).tif,J - 16(fld 1 wv FITC - FITC).tif,VB00021880,16,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
51,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 17(fld 1 wv DAPI - DAPI).tif,J - 17(fld 1 wv FITC - FITC).tif,VB00021880,17,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
52,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 18(fld 1 wv DAPI - DAPI).tif,J - 18(fld 1 wv FITC - FITC).tif,VB00021880,18,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
53,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 19(fld 1 wv DAPI - DAPI).tif,J - 19(fld 1 wv FITC - FITC).tif,VB00021880,19,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
54,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 2(fld 1 wv DAPI - DAPI).tif,J - 2(fld 1 wv FITC - FITC).tif,VB00021880,2,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
55,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 20(fld 1 wv DAPI - DAPI).tif,J - 20(fld 1 wv FITC - FITC).tif,VB00021880,20,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
56,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 21(fld 1 wv DAPI - DAPI).tif,J - 21(fld 1 wv FITC - FITC).tif,VB00021880,21,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
57,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 22(fld 1 wv DAPI - DAPI).tif,J - 22(fld 1 wv FITC - FITC).tif,VB00021880,22,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
58,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 23(fld 1 wv DAPI - DAPI).tif,J - 23(fld 1 wv FITC - FITC).tif,VB00021880,23,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
59,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 24(fld 1 wv DAPI - DAPI).tif,J - 24(fld 1 wv FITC - FITC).tif,VB00021880,24,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
60,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 25(fld 1 wv DAPI - DAPI).tif,J - 25(fld 1 wv FITC - FITC).tif,VB00021880,25,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
61,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 26(fld 1 wv DAPI - DAPI).tif,J - 26(fld 1 wv FITC - FITC).tif,VB00021880,26,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
62,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 27(fld 1 wv DAPI - DAPI).tif,J - 27(fld 1 wv FITC - FITC).tif,VB00021880,27,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
63,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 28(fld 1 wv DAPI - DAPI).tif,J - 28(fld 1 wv FITC - FITC).tif,VB00021880,28,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
64,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 29(fld 1 wv DAPI - DAPI).tif,J - 29(fld 1 wv FITC - FITC).tif,VB00021880,29,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
65,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 3(fld 1 wv DAPI - DAPI).tif,J - 3(fld 1 wv FITC - FITC).tif,VB00021880,3,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
66,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 30(fld 1 wv DAPI - DAPI).tif,J - 30(fld 1 wv FITC - FITC).tif,VB00021880,30,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
67,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 31(fld 1 wv DAPI - DAPI).tif,J - 31(fld 1 wv FITC - FITC).tif,VB00021880,31,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
68,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 32(fld 1 wv DAPI - DAPI).tif,J - 32(fld 1 wv FITC - FITC).tif,VB00021880,32,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
69,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 33(fld 1 wv DAPI - DAPI).tif,J - 33(fld 1 wv FITC - FITC).tif,VB00021880,33,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
70,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 34(fld 1 wv DAPI - DAPI).tif,J - 34(fld 1 wv FITC - FITC).tif,VB00021880,34,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
71,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 35(fld 1 wv DAPI - DAPI).tif,J - 35(fld 1 wv FITC - FITC).tif,VB00021880,35,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
72,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 36(fld 1 wv DAPI - DAPI).tif,J - 36(fld 1 wv FITC - FITC).tif,VB00021880,36,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
73,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 37(fld 1 wv DAPI - DAPI).tif,J - 37(fld 1 wv FITC - FITC).tif,VB00021880,37,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
74,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 38(fld 1 wv DAPI - DAPI).tif,J - 38(fld 1 wv FITC - FITC).tif,VB00021880,38,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
75,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 39(fld 1 wv DAPI - DAPI).tif,J - 39(fld 1 wv FITC - FITC).tif,VB00021880,39,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
76,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 4(fld 1 wv DAPI - DAPI).tif,J - 4(fld 1 wv FITC - FITC).tif,VB00021880,4,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
77,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 40(fld 1 wv DAPI - DAPI).tif,J - 40(fld 1 wv FITC - FITC).tif,VB00021880,40,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
78,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 41(fld 1 wv DAPI - DAPI).tif,J - 41(fld 1 wv FITC - FITC).tif,VB00021880,41,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
79,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 42(fld 1 wv DAPI - DAPI).tif,J - 42(fld 1 wv FITC - FITC).tif,VB00021880,42,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
80,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 5(fld 1 wv DAPI - DAPI).tif,J - 5(fld 1 wv FITC - FITC).tif,VB00021880,5,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
81,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 6(fld 1 wv DAPI - DAPI).tif,J - 6(fld 1 wv FITC - FITC).tif,VB00021880,6,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
82,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 7(fld 1 wv DAPI - DAPI).tif,J - 7(fld 1 wv FITC - FITC).tif,VB00021880,7,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
83,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 8(fld 1 wv DAPI - DAPI).tif,J - 8(fld 1 wv FITC - FITC).tif,VB00021880,8,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
84,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,J - 9(fld 1 wv DAPI - DAPI).tif,J - 9(fld 1 wv FITC - FITC).tif,VB00021880,9,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,10
85,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 1(fld 1 wv DAPI - DAPI).tif,K - 1(fld 1 wv FITC - FITC).tif,VB00021880,1,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
86,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 10(fld 1 wv DAPI - DAPI).tif,K - 10(fld 1 wv FITC - FITC).tif,VB00021880,10,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
87,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 11(fld 1 wv DAPI - DAPI).tif,K - 11(fld 1 wv FITC - FITC).tif,VB00021880,11,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
88,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 12(fld 1 wv DAPI - DAPI).tif,K - 12(fld 1 wv FITC - FITC).tif,VB00021880,12,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
89,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 13(fld 1 wv DAPI - DAPI).tif,K - 13(fld 1 wv FITC - FITC).tif,VB00021880,13,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
90,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 14(fld 1 wv DAPI - DAPI).tif,K - 14(fld 1 wv FITC - FITC).tif,VB00021880,14,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
91,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 15(fld 1 wv DAPI - DAPI).tif,K - 15(fld 1 wv FITC - FITC).tif,VB00021880,15,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
92,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 16(fld 1 wv DAPI - DAPI).tif,K - 16(fld 1 wv FITC - FITC).tif,VB00021880,16,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
93,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 17(fld 1 wv DAPI - DAPI).tif,K - 17(fld 1 wv FITC - FITC).tif,VB00021880,17,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
94,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 18(fld 1 wv DAPI - DAPI).tif,K - 18(fld 1 wv FITC - FITC).tif,VB00021880,18,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
95,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 19(fld 1 wv DAPI - DAPI).tif,K - 19(fld 1 wv FITC - FITC).tif,VB00021880,19,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
96,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 2(fld 1 wv DAPI - DAPI).tif,K - 2(fld 1 wv FITC - FITC).tif,VB00021880,2,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
97,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 20(fld 1 wv DAPI - DAPI).tif,K - 20(fld 1 wv FITC - FITC).tif,VB00021880,20,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
98,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 21(fld 1 wv DAPI - DAPI).tif,K - 21(fld 1 wv FITC - FITC).tif,VB00021880,21,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
99,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 22(fld 1 wv DAPI - DAPI).tif,K - 22(fld 1 wv FITC - FITC).tif,VB00021880,22,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
100,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 23(fld 1 wv DAPI - DAPI).tif,K - 23(fld 1 wv FITC - FITC).tif,VB00021880,23,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
101,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 24(fld 1 wv DAPI - DAPI).tif,K - 24(fld 1 wv FITC - FITC).tif,VB00021880,24,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
102,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 25(fld 1 wv DAPI - DAPI).tif,K - 25(fld 1 wv FITC - FITC).tif,VB00021880,25,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
103,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 26(fld 1 wv DAPI - DAPI).tif,K - 26(fld 1 wv FITC - FITC).tif,VB00021880,26,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
104,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 27(fld 1 wv DAPI - DAPI).tif,K - 27(fld 1 wv FITC - FITC).tif,VB00021880,27,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
105,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 28(fld 1 wv DAPI - DAPI).tif,K - 28(fld 1 wv FITC - FITC).tif,VB00021880,28,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
106,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 29(fld 1 wv DAPI - DAPI).tif,K - 29(fld 1 wv FITC - FITC).tif,VB00021880,29,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
107,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 3(fld 1 wv DAPI - DAPI).tif,K - 3(fld 1 wv FITC - FITC).tif,VB00021880,3,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
108,1,\\our.lab.share\incell\vb00021880,\\our.lab.share\incell\vb00021880,K - 30(fld 1 wv DAPI - DAPI).tif,K - 30(fld 1 wv FITC - FITC).tif,VB00021880,30,5/15/2013,15:57:25,0,PHUSCA-W21701,1536,11
